pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
141,Ranger Suarez,PHI,4,3,0,0,15,21,9,11,6,3,1,1,0,0,0,5.4,1.8
142,Seranthony Dominguez,PHI,53,0,0,0,58,32,19,74,22,4,2,5,16,4,14,2.95,0.93
143,Tommy Hunter,PHI,65,0,0,0,64,65,27,51,15,6,5,4,4,2,25,3.8,1.25
144,Victor Arano,PHI,60,0,0,0,59.1,54,18,60,17,6,1,2,3,2,10,2.73,1.2
145,Vince Velasquez,PHI,31,30,0,0,146.2,138,79,161,59,16,9,12,0,0,0,4.85,1.34
146,Yacksel Rios,PHI,36,0,0,0,36,43,27,36,15,6,3,2,0,0,2,6.75,1.61
147,Zac Curtis,PHI,7,0,0,0,9.2,6,2,10,10,0,0,0,0,0,0,1.86,1.66
148,Zach Eflin,PHI,24,24,0,0,128,130,62,123,37,16,11,8,0,0,0,4.36,1.3
149,AJ Ramos,NYM,28,0,0,0,19.2,17,14,22,15,3,2,2,0,0,7,6.41,1.63
150,Anthony Swarzak,NYM,29,0,0,0,26.1,28,18,31,14,6,0,2,4,1,2,6.15,1.59
151,Bobby Wahl,NYM,7,0,0,0,5.1,9,6,7,4,2,0,1,0,0,2,10.13,2.44
152,Buddy Baumann,NYM,3,0,0,0,3,7,8,4,5,1,0,1,0,0,0,24,4
153,Chris Flexen,NYM,4,1,0,0,6.1,14,9,3,6,2,0,2,0,0,0,12.79,3.16
154,Corey Oswalt,NYM,17,12,0,0,64.2,69,42,45,20,14,3,3,0,0,1,5.85,1.38
155,Daniel Zamora,NYM,16,0,0,0,9,6,3,16,3,1,1,0,0,0,5,3,1
156,Drew Gagnon,NYM,5,1,0,0,12,15,7,8,5,2,2,1,0,0,0,5.25,1.67
157,Drew Smith,NYM,27,0,0,0,28,34,11,18,6,2,1,1,0,2,4,3.54,1.43
158,Eric Hanhold,NYM,3,0,0,0,2.1,4,2,2,1,0,0,0,0,0,0,7.71,2.14
159,Gerson Bautista,NYM,5,0,0,0,4.1,8,6,3,5,2,0,1,0,0,0,12.46,3
160,Jacob deGrom,NYM,32,32,1,0,217,152,41,269,46,10,10,9,0,0,0,1.7,0.91
161,Jacob Rhame,NYM,30,0,0,0,32.1,38,21,28,8,8,1,2,1,1,2,5.85,1.42
162,Jason Vargas,NYM,20,20,0,0,92,100,59,84,30,18,7,9,0,0,0,5.77,1.41
163,Jerry Blevins,NYM,64,1,0,0,42.2,36,23,41,22,6,3,2,1,0,8,4.85,1.36
164,Jeurys Familia,NYM,40,0,0,0,40.2,36,13,43,14,1,4,4,17,4,1,2.88,1.23
165,Noah Syndergaard,NYM,25,25,2,1,154.1,148,52,155,39,9,13,4,0,0,0,3.03,1.21
166,P.J. Conlon,NYM,3,2,0,0,7.2,15,7,5,2,2,0,0,0,0,0,8.22,2.22
167,Paul Sewald,NYM,46,0,0,0,56.1,62,38,58,23,8,0,7,2,2,2,6.07,1.51
168,Robert Gsellman,NYM,68,0,0,0,80,76,38,70,28,8,6,3,13,6,16,4.28,1.3
169,Scott Copeland,NYM,1,0,0,0,1.1,1,0,2,0,0,0,0,0,0,0,0,0.75
170,Seth Lugo,NYM,54,5,0,0,101.1,81,30,103,28,9,3,4,3,1,11,2.66,1.08
171,Steven Matz,NYM,30,30,0,0,154,134,68,152,58,25,5,11,0,0,0,3.97,1.25
172,Tim Peterson,NYM,22,0,0,0,27.2,29,19,25,5,8,2,2,0,0,3,6.18,1.23
173,Tyler Bashlor,NYM,24,0,0,0,32,26,15,25,12,6,0,3,0,0,0,4.22,1.19
174,Zack Wheeler,NYM,29,29,0,0,182.1,150,67,179,55,14,12,7,0,0,0,3.31,1.12
175,Aaron Wilkerson,MIL,3,1,0,0,9,12,10,10,3,4,0,1,0,0,0,10,1.67
176,Adrian Houser,MIL,7,0,0,0,13.2,13,5,8,7,0,0,0,0,0,0,3.29,1.46
177,Alec Asher,MIL,2,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0,1
178,Boone Logan,MIL,16,0,0,0,10.2,15,7,14,10,3,1,0,0,0,0,5.91,2.34
179,Brandon Woodruff,MIL,19,4,0,0,42.1,36,17,47,14,4,3,0,1,0,2,3.61,1.18
180,Brent Suter,MIL,20,18,0,0,101.1,102,50,84,19,18,8,7,0,0,0,4.44,1.19
181,Chase Anderson,MIL,30,30,0,0,158,131,69,128,57,30,9,8,0,0,0,3.93,1.19
182,Corbin Burnes,MIL,30,0,0,0,38,27,11,35,11,4,7,0,1,1,3,2.61,1
183,Corey Knebel,MIL,57,0,0,0,55.1,38,22,88,22,7,4,3,16,3,6,3.58,1.08
184,Dan Jennings,MIL,72,1,0,0,64.1,66,23,45,23,6,4,5,1,2,11,3.22,1.38
185,Freddy Peralta,MIL,16,14,0,0,78.1,49,37,96,40,8,6,4,0,0,0,4.25,1.14
186,J.J. Hoover,MIL,2,0,0,0,1.1,4,3,0,2,1,0,1,0,1,0,20.25,4.5
187,Jacob Barnes,MIL,49,0,0,0,48.2,51,18,47,23,4,0,1,2,2,4,3.33,1.52
188,Jeremy Jeffress,MIL,73,0,0,0,76.2,49,11,89,27,5,8,1,15,5,18,1.29,0.99
189,Jhoulys Chacin,MIL,35,35,0,0,192.2,153,75,156,71,18,15,8,0,0,0,3.5,1.16
190,Josh Hader,MIL,55,0,0,0,81.1,36,22,143,30,9,6,1,12,5,22,2.43,0.81
191,Junior Guerra,MIL,31,26,0,0,141,143,64,136,55,19,6,9,0,0,1,4.09,1.4
192,Matt Albers,MIL,34,0,0,0,34.1,45,28,32,12,10,3,3,1,1,7,7.34,1.66
193,Mike Zagurski,MIL,2,0,0,0,1,5,7,2,2,0,0,1,0,1,0,63,7
194,Taylor Williams,MIL,56,0,0,0,53,53,25,57,25,6,1,3,0,1,4,4.25,1.47
195,Wade Miley,MIL,16,16,0,0,80.2,71,23,50,27,3,5,2,0,0,0,2.57,1.21
196,Zach Davies,MIL,13,13,0,0,66,67,35,49,21,8,2,7,0,0,0,4.77,1.33
