battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
141,Orlando Arcia,MIL,SS,119,348,32,82,16,0,3,30,7,4,15,87,1,1,1,0.236,0.268,0.307,0.575
142,Hernan Perez,MIL,3B,132,316,36,80,11,2,9,29,11,3,17,71,0,1,0,0.253,0.29,0.386,0.676
143,Manny Pina,MIL,C,98,306,39,77,13,2,9,28,2,0,21,62,1,4,5,0.252,0.307,0.395,0.702
144,Jonathan Villar,MIL,2B,87,257,26,67,10,1,6,22,14,2,19,80,0,1,2,0.261,0.315,0.377,0.692
145,Eric Thames,MIL,1B,96,247,41,54,10,3,16,37,7,0,29,97,0,0,2,0.219,0.306,0.478,0.784
146,Domingo Santana,MIL,OF,85,211,21,56,14,1,5,20,1,1,20,77,0,3,1,0.265,0.328,0.412,0.74
147,Erik Kratz,MIL,C,67,203,18,48,6,0,6,23,1,0,6,40,1,2,7,0.236,0.28,0.355,0.635
148,Tyler Saladino,MIL,SS,52,118,11,29,3,0,5,16,2,2,9,38,1,1,1,0.246,0.302,0.398,0.7
149,Eric Sogard,MIL,2B,55,97,7,13,3,0,0,2,3,0,12,23,1,1,2,0.134,0.241,0.165,0.406
150,Keon Broxton,MIL,OF,51,78,15,14,2,2,4,11,5,1,11,28,0,0,0,0.179,0.281,0.41,0.691
151,Jett Bandy,MIL,C,24,64,5,12,2,0,1,1,0,0,3,23,0,0,4,0.188,0.268,0.266,0.534
152,Nate Orf,MIL,2B,15,21,4,2,0,0,1,1,1,0,3,8,0,0,1,0.095,0.24,0.238,0.478
153,Jacob Nottingham,MIL,C,9,20,2,4,1,0,0,0,0,0,4,8,0,0,0,0.2,0.333,0.25,0.583
154,Nick Franklin,MIL,2B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Amed Rosario,NYM,SS,154,554,76,142,26,8,9,51,24,11,29,119,3,3,3,0.256,0.295,0.381,0.676
156,Michael Conforto,NYM,OF,153,543,78,132,25,1,28,82,3,4,84,159,0,4,7,0.243,0.35,0.448,0.798
