Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Jake Thompson,PHI,9,0,0,0,16.1,14,9,14,11,1,1,0,2,0,0,4.96,1.53
Jerad Eickhoff,PHI,3,1,0,0,5.1,10,4,11,0,1,0,1,0,0,0,6.75,1.88
Luis Garcia,PHI,59,0,0,0,46,49,31,51,18,4,3,1,1,3,13,6.07,1.46
Mark Leiter,PHI,12,0,0,0,16.2,22,10,13,8,5,0,1,0,0,0,5.4,1.8
Nick Pivetta,PHI,33,32,0,0,164,163,87,188,51,24,7,14,0,0,0,4.77,1.3
Pat Neshek,PHI,30,0,0,0,24.1,23,7,15,5,2,3,2,5,1,6,2.59,1.15
Ranger Suarez,PHI,4,3,0,0,15,21,9,11,6,3,1,1,0,0,0,5.4,1.8
Seranthony Dominguez,PHI,53,0,0,0,58,32,19,74,22,4,2,5,16,4,14,2.95,0.93
Tommy Hunter,PHI,65,0,0,0,64,65,27,51,15,6,5,4,4,2,25,3.8,1.25
Victor Arano,PHI,60,0,0,0,59.1,54,18,60,17,6,1,2,3,2,10,2.73,1.2
Vince Velasquez,PHI,31,30,0,0,146.2,138,79,161,59,16,9,12,0,0,0,4.85,1.34
Yacksel Rios,PHI,36,0,0,0,36,43,27,36,15,6,3,2,0,0,2,6.75,1.61
Zac Curtis,PHI,7,0,0,0,9.2,6,2,10,10,0,0,0,0,0,0,1.86,1.66
Zach Eflin,PHI,24,24,0,0,128,130,62,123,37,16,11,8,0,0,0,4.36,1.3
AJ Ramos,NYM,28,0,0,0,19.2,17,14,22,15,3,2,2,0,0,7,6.41,1.63
Anthony Swarzak,NYM,29,0,0,0,26.1,28,18,31,14,6,0,2,4,1,2,6.15,1.59
Bobby Wahl,NYM,7,0,0,0,5.1,9,6,7,4,2,0,1,0,0,2,10.13,2.44
Buddy Baumann,NYM,3,0,0,0,3,7,8,4,5,1,0,1,0,0,0,24,4
Chris Flexen,NYM,4,1,0,0,6.1,14,9,3,6,2,0,2,0,0,0,12.79,3.16
Corey Oswalt,NYM,17,12,0,0,64.2,69,42,45,20,14,3,3,0,0,1,5.85,1.38
Daniel Zamora,NYM,16,0,0,0,9,6,3,16,3,1,1,0,0,0,5,3,1
Drew Gagnon,NYM,5,1,0,0,12,15,7,8,5,2,2,1,0,0,0,5.25,1.67
Drew Smith,NYM,27,0,0,0,28,34,11,18,6,2,1,1,0,2,4,3.54,1.43
Eric Hanhold,NYM,3,0,0,0,2.1,4,2,2,1,0,0,0,0,0,0,7.71,2.14
Gerson Bautista,NYM,5,0,0,0,4.1,8,6,3,5,2,0,1,0,0,0,12.46,3
Jacob deGrom,NYM,32,32,1,0,217,152,41,269,46,10,10,9,0,0,0,1.7,0.91
Jacob Rhame,NYM,30,0,0,0,32.1,38,21,28,8,8,1,2,1,1,2,5.85,1.42
Jason Vargas,NYM,20,20,0,0,92,100,59,84,30,18,7,9,0,0,0,5.77,1.41
Jerry Blevins,NYM,64,1,0,0,42.2,36,23,41,22,6,3,2,1,0,8,4.85,1.36
Jeurys Familia,NYM,40,0,0,0,40.2,36,13,43,14,1,4,4,17,4,1,2.88,1.23
Noah Syndergaard,NYM,25,25,2,1,154.1,148,52,155,39,9,13,4,0,0,0,3.03,1.21
P.J. Conlon,NYM,3,2,0,0,7.2,15,7,5,2,2,0,0,0,0,0,8.22,2.22
Paul Sewald,NYM,46,0,0,0,56.1,62,38,58,23,8,0,7,2,2,2,6.07,1.51
Robert Gsellman,NYM,68,0,0,0,80,76,38,70,28,8,6,3,13,6,16,4.28,1.3
Scott Copeland,NYM,1,0,0,0,1.1,1,0,2,0,0,0,0,0,0,0,0,0.75
Seth Lugo,NYM,54,5,0,0,101.1,81,30,103,28,9,3,4,3,1,11,2.66,1.08
Steven Matz,NYM,30,30,0,0,154,134,68,152,58,25,5,11,0,0,0,3.97,1.25
Tim Peterson,NYM,22,0,0,0,27.2,29,19,25,5,8,2,2,0,0,3,6.18,1.23
Tyler Bashlor,NYM,24,0,0,0,32,26,15,25,12,6,0,3,0,0,0,4.22,1.19
Zack Wheeler,NYM,29,29,0,0,182.1,150,67,179,55,14,12,7,0,0,0,3.31,1.12
Aaron Wilkerson,MIL,3,1,0,0,9,12,10,10,3,4,0,1,0,0,0,10,1.67
Adrian Houser,MIL,7,0,0,0,13.2,13,5,8,7,0,0,0,0,0,0,3.29,1.46
Alec Asher,MIL,2,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0,1
Boone Logan,MIL,16,0,0,0,10.2,15,7,14,10,3,1,0,0,0,0,5.91,2.34
Brandon Woodruff,MIL,19,4,0,0,42.1,36,17,47,14,4,3,0,1,0,2,3.61,1.18
Brent Suter,MIL,20,18,0,0,101.1,102,50,84,19,18,8,7,0,0,0,4.44,1.19
Chase Anderson,MIL,30,30,0,0,158,131,69,128,57,30,9,8,0,0,0,3.93,1.19
Corbin Burnes,MIL,30,0,0,0,38,27,11,35,11,4,7,0,1,1,3,2.61,1
Corey Knebel,MIL,57,0,0,0,55.1,38,22,88,22,7,4,3,16,3,6,3.58,1.08
Dan Jennings,MIL,72,1,0,0,64.1,66,23,45,23,6,4,5,1,2,11,3.22,1.38
Freddy Peralta,MIL,16,14,0,0,78.1,49,37,96,40,8,6,4,0,0,0,4.25,1.14
J.J. Hoover,MIL,2,0,0,0,1.1,4,3,0,2,1,0,1,0,1,0,20.25,4.5
Jacob Barnes,MIL,49,0,0,0,48.2,51,18,47,23,4,0,1,2,2,4,3.33,1.52
Jeremy Jeffress,MIL,73,0,0,0,76.2,49,11,89,27,5,8,1,15,5,18,1.29,0.99
Jhoulys Chacin,MIL,35,35,0,0,192.2,153,75,156,71,18,15,8,0,0,0,3.5,1.16
Josh Hader,MIL,55,0,0,0,81.1,36,22,143,30,9,6,1,12,5,22,2.43,0.81
Junior Guerra,MIL,31,26,0,0,141,143,64,136,55,19,6,9,0,0,1,4.09,1.4
Matt Albers,MIL,34,0,0,0,34.1,45,28,32,12,10,3,3,1,1,7,7.34,1.66
Mike Zagurski,MIL,2,0,0,0,1,5,7,2,2,0,0,1,0,1,0,63,7
Taylor Williams,MIL,56,0,0,0,53,53,25,57,25,6,1,3,0,1,4,4.25,1.47
Wade Miley,MIL,16,16,0,0,80.2,71,23,50,27,3,5,2,0,0,0,2.57,1.21
Zach Davies,MIL,13,13,0,0,66,67,35,49,21,8,2,7,0,0,0,4.77,1.33
Adam Conley,MIA,52,0,0,0,50.2,37,23,50,18,5,3,4,3,2,16,4.09,1.09
Ben Meyer,MIA,13,0,0,0,19,26,22,9,14,2,0,0,0,0,0,10.42,2.11
Brad Ziegler,MIA,53,0,0,0,52,49,23,37,17,7,1,5,10,1,11,3.98,1.27
Brett Graves,MIA,21,0,0,0,33.1,41,20,21,12,3,1,1,1,0,0,5.4,1.59
Caleb Smith,MIA,16,16,0,0,77.1,63,36,88,33,10,5,6,0,0,0,4.19,1.24
Chris O'Grady,MIA,8,0,0,0,7,7,5,8,4,2,0,1,0,1,0,6.43,1.57
Dan Straily,MIA,23,23,0,0,122.1,107,56,99,52,20,5,6,0,0,0,4.12,1.3
Dillon Peters,MIA,7,5,0,0,27.2,34,22,17,15,4,2,2,0,0,0,7.16,1.77
Drew Rucinski,MIA,32,0,0,0,35.1,34,17,27,13,2,4,2,0,1,4,4.33,1.33
Drew Steckenrider,MIA,71,0,0,0,64.2,55,28,74,27,7,4,4,5,5,19,3.9,1.27
Elieser Hernandez,MIA,32,6,0,0,65.2,68,38,45,27,11,2,7,0,0,2,5.21,1.45
Jacob Turner,MIA,4,0,0,0,5.2,13,10,2,5,1,0,0,0,0,0,15.88,3.18
Jarlin Garcia,MIA,29,7,0,0,66,59,36,40,28,16,3,3,0,0,2,4.91,1.32
Javy Guerra,MIA,32,0,0,0,35.2,42,22,30,12,4,1,1,1,0,1,5.55,1.51
Jeff Brigham,MIA,4,4,0,0,16.1,16,11,12,13,2,0,4,0,0,0,6.06,1.78
Jose Urena,MIA,31,31,1,0,174,155,77,130,51,19,9,12,0,0,0,3.98,1.18
Junichi Tazawa,MIA,22,0,0,0,20,28,20,24,13,6,1,1,0,0,2,9,2.05
Kyle Barraclough,MIA,61,0,0,0,55.2,40,26,60,34,8,1,6,10,7,10,4.2,1.33
Merandy Gonzalez,MIA,8,1,0,0,22,31,14,19,8,4,2,1,0,0,0,5.73,1.77
Nick Wittgren,MIA,32,0,0,0,33.2,29,11,31,15,1,2,1,0,0,4,2.94,1.31
Odrisamer Despaigne,MIA,11,1,0,0,20.1,22,12,18,8,1,2,0,0,1,0,5.31,1.48
Pablo Lopez,MIA,10,10,0,0,58.2,56,27,46,18,8,2,4,0,0,0,4.14,1.26
Sandy Alcantara,MIA,6,6,0,0,34,25,13,30,23,3,2,3,0,0,0,3.44,1.41
Tayron Guerrero,MIA,60,0,0,0,58,64,35,68,30,8,1,3,0,4,9,5.43,1.62
Trevor Richards,MIA,25,25,0,0,126.1,121,62,130,54,15,4,9,0,0,0,4.42,1.39
Tyler Cloyd,MIA,7,0,0,0,17.2,25,17,13,10,3,0,0,0,0,0,8.66,1.98
Tyler Kinley,MIA,9,0,0,0,7.2,6,6,9,4,0,0,0,0,0,0,7.04,1.3
Wei-Yin Chen,MIA,26,26,0,0,133.1,131,71,111,47,19,6,12,0,0,0,4.79,1.34
Adam Liberatore,LAD,17,0,0,0,13,10,4,12,8,1,2,1,0,1,1,2.77,1.38
Alex Wood,LAD,33,27,0,0,151.2,143,62,135,40,14,9,7,0,0,1,3.68,1.21
Brock Stewart,LAD,9,2,0,0,17.2,23,12,14,9,4,0,1,0,1,0,6.11,1.81
Caleb Ferguson,LAD,29,3,0,0,49,43,19,59,12,8,7,2,2,1,5,3.49,1.12
Clayton Kershaw,LAD,26,26,0,0,161.1,139,49,155,29,17,9,5,0,0,0,2.73,1.04
Daniel Corcino,LAD,2,0,0,0,4,2,1,1,3,0,0,0,1,0,0,2.25,1.25
Daniel Hudson,LAD,40,1,0,0,46,38,21,44,18,6,3,2,0,1,3,4.11,1.22
Dennis Santana,LAD,1,0,0,0,3.2,6,5,4,1,0,1,0,0,0,0,12.27,1.91
Edward Paredes,LAD,15,0,0,0,7.2,7,5,8,2,2,2,0,0,0,3,5.87,1.17
Erik Goeddel,LAD,26,0,0,0,29.1,22,11,35,15,4,1,0,0,2,5,3.38,1.26
Hyun-Jin Ryu,LAD,15,15,0,0,82.1,68,18,89,15,9,7,3,0,0,0,1.97,1.01
Josh Fields,LAD,45,0,0,0,41,28,10,33,11,4,2,2,2,1,8,2.2,0.95
JT Chargois,LAD,39,0,0,0,32.1,26,12,40,15,4,2,4,0,4,7,3.34,1.27
Julio Urias,LAD,3,0,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0.25
Kenley Jansen,LAD,69,0,0,0,71.2,54,24,82,17,13,1,5,38,4,0,3.01,0.99
Kenta Maeda,LAD,39,20,0,0,125.1,115,53,153,43,13,8,10,2,0,5,3.81,1.26
Pat Venditte,LAD,15,0,0,0,14,11,4,9,3,1,0,0,0,0,0,2.57,1
Pedro Baez,LAD,55,0,0,0,56.1,46,18,62,23,4,4,3,0,1,7,2.88,1.22
Rich Hill,LAD,25,24,0,0,132.2,108,54,150,41,20,11,5,0,0,0,3.66,1.12
Ross Stripling,LAD,33,21,0,0,122,123,41,136,22,18,8,6,0,0,3,3.02,1.19
Scott Alexander,LAD,73,1,0,0,66,57,27,56,27,4,2,1,3,3,21,3.68,1.27
Tony Cingrani,LAD,30,0,0,0,22.2,19,12,36,6,2,1,2,0,2,11,4.76,1.1
Walker Buehler,LAD,24,23,0,0,137.1,95,40,151,37,12,8,5,0,1,0,2.62,0.96
Yimi Garcia,LAD,25,0,0,0,22.1,29,14,19,4,7,1,2,0,1,2,5.64,1.48
Zac Rosscup,LAD,17,0,0,0,11.1,9,6,20,4,3,0,1,0,1,1,4.76,1.15
Zach Neal,LAD,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,9,2
Adam Ottavino,COL,75,0,0,0,77.2,41,21,112,36,5,6,4,6,5,34,2.43,0.99
Antonio Senzatela,COL,23,13,0,0,90.1,94,44,69,30,10,6,6,0,0,0,4.38,1.37
Brooks Pounders,COL,14,0,0,0,15.1,25,13,17,2,3,0,1,0,1,0,7.63,1.76
Bryan Shaw,COL,61,0,0,0,54.2,70,36,54,28,9,4,6,0,5,13,5.93,1.79
Chad Bettis,COL,27,20,0,0,120.1,121,67,80,47,18,5,2,0,0,1,5.01,1.4
Chris Rusin,COL,49,0,0,0,54.2,56,37,47,26,7,2,3,0,1,7,6.09,1.5
D.J. Johnson,COL,7,0,0,0,6.1,6,3,9,2,0,1,0,0,0,0,4.26,1.26
German Marquez,COL,33,33,0,0,196,179,82,230,57,24,14,11,0,0,0,3.77,1.2
Harrison Musgrave,COL,35,0,0,0,44.2,36,23,32,22,7,2,3,0,0,5,4.63,1.3
Jake McGee,COL,61,0,0,0,51.1,59,37,47,16,10,2,4,1,2,14,6.49,1.46
Jeff Hoffman,COL,6,1,0,0,8.2,15,9,5,7,0,0,0,0,0,1,9.35,2.54
Jon Gray,COL,31,31,0,0,172.1,180,98,183,52,27,12,9,0,0,0,5.12,1.35
